time,speed,throttle,brake,steering,laps
235.63,4.043760609665269e-40,1.0,0.0,27.839765548706055,0
235.73,4.045475798985602e-40,1.0,0.0,27.838422775268555,0
235.83,4.04714054156122e-40,1.0,0.0,27.837106704711914,0
235.93,4.0488557308815535e-40,1.0,0.0,27.835735321044922,0
236.04,4.050520473457171e-40,1.0,0.0,27.83439064025879,0
236.14,4.052235662777505e-40,1.0,0.0,27.832988739013672,0
236.24,4.053900405353123e-40,1.0,0.0,27.831615447998047,0
236.34,4.055615594673457e-40,1.0,0.0,27.830184936523438,0
236.44,4.0572803372490744e-40,1.0,0.0,27.82878303527832,0
236.54,4.058995526569408e-40,1.0,0.0,27.82732582092285,0
236.64,4.060660269145026e-40,1.0,0.0,27.825897216796875,0
236.74,4.062375458465359e-40,1.0,0.0,27.82440948486328,0
236.84,4.064040201040978e-40,1.0,0.0,27.822956085205078,0
236.94,4.065755390361311e-40,1.0,0.0,27.821441650390625,0
237.04,4.0674201329369285e-40,1.0,0.0,27.81995964050293,0
237.14,4.069135322257262e-40,1.0,0.0,27.81842041015625,0
237.24,4.07080006483288e-40,1.0,0.0,27.816911697387695,0
237.34,4.072515254153214e-40,1.0,0.0,27.815343856811523,0
237.44,4.074179996728832e-40,1.0,0.0,27.813810348510742,0
237.54,4.075895186049166e-40,1.0,0.0,27.812219619750977,0
237.64,4.077559928624783e-40,1.0,0.0,27.810657501220703,0
237.74,4.0792751179451164e-40,1.0,0.0,27.809036254882812,0
237.85,4.080939860520735e-40,1.0,0.0,27.807456970214844,0
237.95,4.082655049841068e-40,1.0,0.0,27.80579376220703,0
238.05,4.084319792416686e-40,1.0,0.0,27.804187774658203,0
238.15,4.08603498173702e-40,1.0,0.0,27.802518844604492,0
238.25,4.087699724312637e-40,1.0,0.0,27.800888061523438,0
238.35,4.089414913632971e-40,1.0,0.0,27.799190521240234,0
238.45,4.091079656208589e-40,1.0,0.0,27.79753303527832,0
238.55,4.092794845528923e-40,1.0,0.0,27.795822143554688,0
238.65,4.094459588104541e-40,1.0,0.0,27.794147491455078,0
238.75,4.096174777424874e-40,1.0,0.0,27.792404174804688,0
238.85,4.097839520000492e-40,1.0,0.0,27.79070281982422,0
238.95,4.099554709320825e-40,1.0,0.0,27.7889461517334,0
239.05,4.101269898641159e-40,1.0,0.0,27.787179946899414,0
239.15,4.102934641216777e-40,1.0,0.0,27.78544807434082,0
239.25,4.104649830537111e-40,1.0,0.0,27.783658981323242,0
239.35,4.1063145731127286e-40,1.0,0.0,27.78191566467285,0
239.45,4.107979315688346e-40,1.0,0.0,27.780162811279297,0
239.55,4.10969450500868e-40,1.0,0.0,27.778596878051758,0
239.65,4.111409694329013e-40,1.0,0.0,27.777780532836914,0
239.76,4.113074436904631e-40,1.0,0.0,27.777130126953125,0
239.86,4.114789626224965e-40,1.0,0.0,27.77619743347168,0
239.96,4.116504815545299e-40,1.0,0.0,27.77477264404297,0
240.06,4.1181695581209165e-40,1.0,0.0,27.773378372192383,0
240.16,4.11988474744125e-40,1.0,0.0,27.771940231323242,0
